Si (Silicon) - Dispersive & Lossless

frequency (THz), Im(eps)
529.681, 1.96926e-06
530.105, 1.98684e-06
530.528, 2.00466e-06
530.952, 2.02272e-06
531.376, 2.04102e-06
531.799, 2.05957e-06
532.223, 2.07837e-06
532.647, 2.09742e-06
533.07, 2.11674e-06
533.494, 2.13632e-06
533.918, 2.15618e-06
534.341, 2.17631e-06
534.765, 2.19672e-06
535.189, 2.21742e-06
535.612, 2.23841e-06
536.036, 2.2597e-06
536.46, 2.28129e-06
536.883, 2.30319e-06
537.307, 2.3254e-06
537.731, 2.34793e-06
538.154, 2.37079e-06
538.578, 2.39399e-06
539.002, 2.41752e-06
539.425, 2.44141e-06
539.849, 2.46564e-06
540.273, 2.49023e-06
540.696, 2.5152e-06
541.12, 2.54053e-06
541.543, 2.56625e-06
541.967, 2.59236e-06
542.391, 2.61887e-06
542.814, 2.64578e-06
543.238, 2.67311e-06
543.662, 2.70086e-06
544.085, 2.72905e-06
544.509, 2.75767e-06
544.933, 2.78675e-06
545.356, 2.81628e-06
545.78, 2.84628e-06
546.204, 2.87677e-06
546.627, 2.90774e-06
547.051, 2.93921e-06
547.475, 2.9712e-06
547.898, 3.0037e-06
548.322, 3.03674e-06
548.746, 3.07033e-06
549.169, 3.10447e-06
549.593, 3.13918e-06
550.017, 3.17448e-06
550.44, 3.21037e-06
550.864, 3.24687e-06
551.288, 3.284e-06
551.711, 3.32176e-06
552.135, 3.36017e-06
552.559, 3.39925e-06
552.982, 3.43901e-06
553.406, 3.47947e-06
553.83, 3.52065e-06
554.253, 3.56256e-06
554.677, 3.60522e-06
555.101, 3.64864e-06
555.524, 3.69286e-06
555.948, 3.73787e-06
556.372, 3.78372e-06
556.795, 3.8304e-06
557.219, 3.87796e-06
557.643, 3.9264e-06
558.066, 3.97575e-06
558.49, 4.02603e-06
558.914, 4.07727e-06
559.337, 4.1295e-06
559.761, 4.18272e-06
560.185, 4.23698e-06
560.608, 4.2923e-06
561.032, 4.34871e-06
561.456, 4.40623e-06
561.879, 4.46489e-06
562.303, 4.52474e-06
562.726, 4.58578e-06
563.15, 4.64807e-06
563.574, 4.71164e-06
563.997, 4.77651e-06
564.421, 4.84272e-06
564.845, 4.91032e-06
565.268, 4.97934e-06
565.692, 5.04982e-06
566.116, 5.1218e-06
566.539, 5.19533e-06
566.963, 5.27045e-06
567.387, 5.34721e-06
567.81, 5.42565e-06
568.234, 5.50582e-06
568.658, 5.58778e-06
569.081, 5.67158e-06
569.505, 5.75728e-06
569.929, 5.84492e-06
570.352, 5.93458e-06
570.776, 6.02631e-06
571.2, 6.12018e-06
571.623, 6.21626e-06
572.047, 6.31461e-06
572.471, 6.41531e-06
572.894, 6.51843e-06
573.318, 6.62405e-06
573.742, 6.73225e-06
574.165, 6.84312e-06
574.589, 6.95675e-06
575.013, 7.07322e-06
575.436, 7.19264e-06
575.86, 7.3151e-06
576.284, 7.44072e-06
576.707, 7.56958e-06
577.131, 7.70182e-06
577.555, 7.83755e-06
577.978, 7.97689e-06
578.402, 8.11998e-06
578.826, 8.26694e-06
579.249, 8.41792e-06
579.673, 8.57307e-06
580.097, 8.73254e-06
580.52, 8.8965e-06
580.944, 9.06511e-06
581.368, 9.23855e-06
581.791, 9.41701e-06
582.215, 9.60068e-06
582.639, 9.78977e-06
583.062, 9.9845e-06
583.486, 1.01851e-05
583.909, 1.03918e-05
584.333, 1.06048e-05
584.757, 1.08244e-05
585.18, 1.1051e-05
585.604, 1.12847e-05
586.028, 1.15258e-05
586.451, 1.17748e-05
586.875, 1.2032e-05
587.299, 1.22976e-05
587.722, 1.25722e-05
588.146, 1.2856e-05
588.57, 1.31495e-05
588.993, 1.34532e-05
589.417, 1.37675e-05
589.841, 1.4093e-05
590.264, 1.44301e-05
590.688, 1.47794e-05
591.112, 1.51416e-05
591.535, 1.55173e-05
591.959, 1.59071e-05
592.383, 1.63117e-05
592.806, 1.6732e-05
593.23, 1.71687e-05
593.654, 1.76227e-05
594.077, 1.8095e-05
594.501, 1.85865e-05
594.925, 1.90983e-05
595.348, 1.96315e-05
595.772, 2.01873e-05
596.196, 2.0767e-05
596.619, 2.13721e-05
597.043, 2.2004e-05
597.467, 2.26643e-05
597.89, 2.33548e-05
598.314, 2.40773e-05
598.738, 2.48338e-05
599.161, 2.56266e-05
599.585, 2.64579e-05


