Si (Silicon) - Dispersive & Lossless

frequency (THz), Re(eps)
558.49, 26.0768
558.914, 26.1847
559.337, 26.2939
559.761, 26.4045
560.185, 26.5166
560.608, 26.6301
561.032, 26.7451
561.456, 26.8617
561.879, 26.9797
562.303, 27.0994
562.726, 27.2206
563.15, 27.3435
563.574, 27.4681
563.997, 27.5944
564.421, 27.7224
564.845, 27.8522
565.268, 27.9838
565.692, 28.1173
566.116, 28.2527
566.539, 28.39
566.963, 28.5293
567.387, 28.6706
567.81, 28.814
568.234, 28.9595
568.658, 29.1071
569.081, 29.257
569.505, 29.4091
569.929, 29.5635
570.352, 29.7203
570.776, 29.8795
571.2, 30.0411
571.623, 30.2053
572.047, 30.3721
572.471, 30.5415
572.894, 30.7137
573.318, 30.8886
573.742, 31.0664
574.165, 31.247
574.589, 31.4307
575.013, 31.6174
575.436, 31.8073
575.86, 32.0004
576.284, 32.1968
576.707, 32.3965
577.131, 32.5998
577.555, 32.8066
577.978, 33.0171
578.402, 33.2313
578.826, 33.4494
579.249, 33.6715
579.673, 33.8976
580.097, 34.1279
580.52, 34.3626
580.944, 34.6016
581.368, 34.8452
581.791, 35.0935
582.215, 35.3466
582.639, 35.6047
583.062, 35.8679
583.486, 36.1363
583.909, 36.4102
584.333, 36.6896
584.757, 36.9748
585.18, 37.2659
585.604, 37.5632
586.028, 37.8668
586.451, 38.1769
586.875, 38.4937
587.299, 38.8175
587.722, 39.1485
588.146, 39.4869
588.57, 39.833
588.993, 40.1871
589.417, 40.5494
589.841, 40.9202
590.264, 41.2998
590.688, 41.6885
591.112, 42.0867
591.535, 42.4947
591.959, 42.913
592.383, 43.3417
592.806, 43.7815
593.23, 44.2327
593.654, 44.6957
594.077, 45.1711
594.501, 45.6592
594.925, 46.1608
595.348, 46.6762
595.772, 47.2061
596.196, 47.7511
596.619, 48.3119
597.043, 48.8892
597.467, 49.4837
597.89, 50.0961
598.314, 50.7273
598.738, 51.3782
599.161, 52.0498
599.585, 52.7429


